ACTUAL;MONTO;CLIENTE;REMITO;FECHA
UTIL;0;peron 3513 tx2;816;2017-09-28
UTIL;0;gaona tx2;817;2017-09-28
UTIL;0;cobo tx2;818;2017-09-28
UTIL;0;marquez tx2;821;2017-09-29
UTIL;0;casares tx2;823;2017-09-29
UTIL;0;david;824;2017-09-29
UTIL;0;mosconi tx2;826;2017-09-29
UTIL;0;donato tx2;838;2017-10-01
UTIL;0;no existe mas - parque patricios tx2;839;2017-10-01
UTIL;0;cecilia tx2;840;2017-10-01
UTIL;0;diaz velez 4480;841;2017-10-01
UTIL;0;cuenca tz2;842;2017-10-02
UTIL;0;linazca tx2;843;2017-10-02
UTIL;0;nazca 2968 tx2;844;2017-10-02
UTIL;0;cesar;845;2017-10-02
UTIL;0;san nicolas arroyos;846;2017-10-02
UTIL;73935,84;NULL;868;2017-10-03
UTIL;0;rivadavia 2379 tx2;871;2017-10-03
UTIL;0;josecpaz tx2;872;2017-10-03
UTIL;0;martelo tx2;873;2017-10-03
UTIL;0;pergamino tx2;874;2017-10-03
UTIL;0;lanuperon tx2;875;2017-10-04
UTIL;0;yrigoyen lanus;876;2017-10-04
UTIL;0;belgrano tx2;877;2017-10-04
UTIL;0;san wilde tx2;878;2017-10-04
UTIL;0;escobar tx2;879;2017-10-04
UTIL;0;santos tx2;883;2017-10-04
UTIL;0;beiro 4285 tx2;884;2017-10-04
UTIL;0;franco tx2;886;2017-10-04
UTIL;0;no existe mas - crovara tx2;895;2017-10-05
UTIL;0;rivadavia 18029;896;2017-10-05
UTIL;0;san isidro tx2;897;2017-10-05
UTIL;0;somellera tx2;898;2017-10-05
UTIL;0;pilar miguel tx2;899;2017-10-05
UTIL;0;cesar;900;2017-10-05
UTIL;100159,91999999997;NULL;901;2017-10-06
UTIL;0;merlo tx2;903;2017-10-07
UTIL;0;rodriguez tx2;909;2017-10-08
UTIL;0;donato tx2;910;2017-10-08
UTIL;0;cesar;911;2017-10-08
UTIL;0;cuenca tz2;912;2017-10-08
UTIL;0;linazca tx2;913;2017-10-08
UTIL;0;mosconi tx2;914;2017-10-08
UTIL;0;cordoba tx2;915;2017-10-08
UTIL;0;lujan tx2;916;2017-10-08
UTIL;0;alsina tx2;917;2017-10-08
UTIL;0;congreso tx2;918;2017-10-08
UTIL;0;carrillo tx2;919;2017-10-08
UTIL;0;domingo peron tx2;920;2017-10-08
UTIL;0;velez sarsfield tx2;921;2017-10-08
UTIL;0;nazca 2968 tx2;922;2017-10-08
UTIL;0;kimi tx2;923;2017-10-08
